ax,ay,az,gx,gy,gz
0.813,0.209,0.875,89.252,-250.137,69.282
0.895,0.325,0.441,96.710,-250.137,56.260
0.870,0.359,0.220,92.588,-250.137,50.664
0.781,0.336,0.395,72.000,-250.137,49.847
0.836,0.221,0.425,64.145,-250.137,42.160
0.971,0.211,0.494,49.275,-250.137,34.931
0.991,0.221,0.491,17.573,-185.756,39.740
0.981,0.164,0.359,-10.947,-129.618,38.626
0.990,0.201,0.202,-30.321,-107.924,38.809
1.040,0.155,0.100,-37.756,-128.137,34.664
1.085,0.187,0.027,-41.298,-159.366,32.557
1.080,0.147,0.022,-42.573,-186.718,32.611
1.052,0.143,0.017,-49.763,-195.595,33.382
1.011,0.165,-0.064,-62.290,-192.053,36.893
0.909,0.168,-0.149,-68.115,-191.160,40.618
0.886,0.245,-0.319,-66.496,-182.046,30.687
0.980,0.204,-0.455,-52.107,-169.832,29.817
0.980,0.169,-0.500,-32.634,-153.275,35.038
0.921,0.159,-0.583,-15.695,-130.679,39.763
0.850,0.111,-0.490,-6.153,-117.519,39.115
0.812,-0.016,-0.262,0.672,-129.061,27.885
0.935,-0.010,-0.108,-17.977,-159.603,17.191
1.103,0.068,-0.399,-38.389,-173.344,10.305
1.108,0.059,-0.556,-54.252,-164.221,25.847
0.989,0.068,-0.668,-31.748,-121.267,50.901
0.941,0.133,-0.811,-3.634,-70.817,77.992
0.819,0.052,-0.766,24.740,-30.244,94.725
0.767,0.031,-0.612,41.489,-2.947,100.962
0.769,0.012,-0.490,42.695,6.389,104.550
0.762,0.052,-0.446,37.305,17.260,102.344
0.779,0.087,-0.450,29.969,16.702,97.145
0.827,0.036,-0.488,28.489,12.595,88.832
0.952,-0.039,-0.399,30.061,-0.321,88.374
1.250,0.025,-0.389,27.809,-8.046,101.550
1.354,0.025,-0.384,23.748,-7.344,131.466
1.256,0.032,-0.408,20.718,4.214,168.901
1.090,0.069,-0.471,18.565,15.122,194.412
0.846,0.062,-0.506,20.214,26.977,196.939
0.699,0.074,-0.509,27.504,28.534,184.641
0.615,-0.071,-0.545,39.817,39.756,170.046
0.566,-0.172,-0.506,51.931,61.931,157.786
0.566,-0.229,-0.439,59.832,85.901,147.168
0.697,-0.236,-0.338,60.282,103.481,137.969
0.762,-0.276,-0.290,56.649,104.809,135.511
0.857,-0.256,-0.248,57.412,109.656,146.092
0.839,-0.265,-0.242,52.244,124.450,165.115
0.723,-0.237,-0.266,43.611,144.672,180.053
0.620,-0.337,-0.306,36.198,166.687,182.908
0.590,-0.353,-0.314,33.740,193.267,176.229
0.611,-0.434,-0.310,38.344,194.412,170.763
0.693,-0.526,-0.234,49.008,176.817,165.374
0.708,-0.536,-0.136,61.366,142.931,160.359
0.663,-0.588,0.038,64.611,124.908,154.870
0.615,-0.603,0.131,50.328,135.351,152.779
0.579,-0.640,0.072,27.885,171.771,152.191
0.593,-0.602,-0.026,8.046,216.366,156.275
0.597,-0.542,-0.143,0.221,210.702,161.878
0.549,-0.652,-0.207,12.664,202.885,159.244
0.499,-0.801,-0.168,36.053,201.870,149.534
0.470,-0.834,-0.072,56.702,207.275,136.565
0.444,-0.835,0.073,65.344,220.313,123.542
0.476,-0.854,0.138,63.282,250.130,117.504
